"YEAR","REGION","OWNERSHP","VACANCY","vac","vac_se","vac_moe"
"2020","1","Vacant","For migrant farm workers",141,141.00000000000156,231.94500000000258
"2020","1","Vacant","For rent or sale",2889,832.3425159058136,1369.2034386650632
"2020","1","Vacant","For sale only",1868,615.0765944510347,1011.8009978719521
"2020","1","Vacant","For seasonal, recreational or other occasional use",14429,1774.0431488905797,2918.3009799250035
"2020","1","Owned or being bought (loan)","Occupied",93833,3951.5457808633623,6500.2928095202315
"2020","1","Rented","Occupied",37308,2832.2887441338535,4659.114984100189
"2020","1","Vacant","Other vacant",4295,860.4584994607756,1415.4542316129757
"2020","1","Vacant","Rented or sold but not (yet) occupied",1749,744.2228067453206,1224.2465170960522
"2020","2","Vacant","For migrant farm workers",279,163.6658962377764,269.23039931114215
"2020","2","Vacant","For rent or sale",5289,1025.605291399009,1687.1207043513698
"2020","2","Vacant","For sale only",1008,425.27111440171154,699.5709831908155
"2020","2","Vacant","For seasonal, recreational or other occasional use",73978,3871.4695035985415,6368.567333419601
"2020","2","Owned or being bought (loan)","Occupied",99890,4435.69213973766,7296.713569868451
"2020","2","Rented","Occupied",32416,2716.0205339092217,4467.85377828067
"2020","2","Vacant","Other vacant",7895,1182.2012508858168,1944.7210577071685
"2020","2","Vacant","Rented or sold but not (yet) occupied",1640,571.2560387487391,939.7161837416759
"2020","3","Vacant","For migrant farm workers",101,100.99999999999886,166.14499999999813
"2020","3","Vacant","For rent or sale",33657,3174.07770087047,5221.357817931923
"2020","3","Vacant","For sale only",9471,1609.5860235827322,2647.7690087935944
"2020","3","Vacant","For seasonal, recreational or other occasional use",19067,2136.6072160998388,3514.7188704842347
"2020","3","Owned or being bought (loan)","Occupied",1220641,12786.106740182686,21033.145587600517
"2020","3","Rented","Occupied",640470,11845.48643029728,19485.825177839026
"2020","3","Vacant","Other vacant",26413,2506.990114843844,4123.998738918123
"2020","3","Vacant","Rented or sold but not (yet) occupied",12109,1842.0279515818095,3030.135980352077
"2020","4","Vacant","For rent or sale",822,299.76592102167155,493.1149400806497
"2020","4","Vacant","For sale only",1309,562.4546975854886,925.2379775281288
"2020","4","Vacant","For seasonal, recreational or other occasional use",5948,920.2001812092223,1513.7292980891707
"2020","4","Owned or being bought (loan)","Occupied",59672,2551.7751116875756,4197.670058726062
"2020","4","Rented","Occupied",21353,1584.1971182589004,2606.0042595358914
"2020","4","Vacant","Other vacant",7146,897.5021480520564,1476.3910335456328
"2020","4","Vacant","Rented or sold but not (yet) occupied",579,382.8966672533453,629.8650176317531
